"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","CBT_ncomm","TD","rep"
"1",0.703092783505155,0.86752529898804,0.703092783505155,0.86752529898804,0.703092783505155,0.703092783505155,0.703092783505155,0.30852417302799,0.216921119592875,0.30852417302799,0.785309041246598,"Hybrid Score (corrected)",10,0.570618082493195,1
"2",0.709278350515464,0.870285188592456,0.709278350515464,0.870285188592456,0.709278350515464,0.709278350515464,0.709278350515464,0.30852417302799,0.21882951653944,0.30852417302799,0.78978176955396,"Hybrid Score",10,0.57956353910792,1
"3",0.670103092783505,0.852805887764489,0.670103092783505,0.852805887764489,0.670103092783505,0.670103092783505,0.670103092783505,0.30852417302799,0.206743002544529,0.30852417302799,0.761454490273997,"CBT Score (corrected)",10,0.522908980547995,1
"4",0.672164948453608,0.853725850965961,0.672164948453608,0.853725850965961,0.672164948453608,0.672164948453608,0.672164948453608,0.30852417302799,0.207379134860051,0.30852417302799,0.762945399709785,"CBT Score",10,0.52589079941957,1
"5",0.564948453608247,0.80588776448942,0.564948453608248,0.80588776448942,0.564948453608247,0.564948453608247,0.564948453608247,0.30852417302799,0.174300254452926,0.30852417302799,0.685418109048834,"PMT OLS",10,0.370836218097668,1
"6",0.534020618556701,0.792088316467341,0.534020618556701,0.792088316467341,0.534020618556701,0.534020618556701,0.534020618556701,0.30852417302799,0.164758269720102,0.30852417302799,0.663054467512021,"CBT Logit",10,0.326108935024042,1
"7",0.703557312252964,0.860594795539034,0.703557312252964,0.860594795539034,0.703557312252964,0.703557312252964,0.703557312252964,0.319848293299621,0.225031605562579,0.319848293299621,0.782076053895999,"Hybrid Score (corrected)",10,0.564152107791998,2
"8",0.701581027667984,0.859665427509294,0.701581027667984,0.859665427509294,0.701581027667984,0.701581027667984,0.701581027667984,0.319848293299621,0.224399494310999,0.319848293299621,0.780623227588639,"Hybrid Score",10,0.561246455177278,2
"9",0.652173913043478,0.836431226765799,0.652173913043478,0.836431226765799,0.652173913043478,0.652173913043478,0.652173913043478,0.319848293299621,0.208596713021492,0.319848293299621,0.744302569904639,"CBT Score (corrected)",10,0.488605139809278,2
"10",0.648221343873518,0.83457249070632,0.648221343873518,0.83457249070632,0.648221343873518,0.648221343873518,0.648221343873518,0.319848293299621,0.207332490518331,0.319848293299621,0.741396917289919,"CBT Score",10,0.482793834579837,2
"11",0.567193675889328,0.796468401486989,0.567193675889328,0.796468401486989,0.567193675889328,0.567193675889328,0.567193675889328,0.319848293299621,0.18141592920354,0.319848293299621,0.681831038688158,"PMT OLS",10,0.363662077376317,2
"12",0.571146245059289,0.798327137546468,0.571146245059289,0.798327137546468,0.571146245059289,0.571146245059289,0.571146245059289,0.319848293299621,0.1826801517067,0.319848293299621,0.684736691302879,"CBT Logit",10,0.369473382605757,2
"13",0.656314699792961,0.8452935694315,0.656314699792961,0.8452935694315,0.656314699792961,0.656314699792961,0.656314699792961,0.310411311053985,0.203727506426735,0.310411311053985,0.750804134612231,"Hybrid Score (corrected)",10,0.501608269224461,3
"14",0.633540372670807,0.835041938490214,0.633540372670807,0.835041938490214,0.633540372670807,0.633540372670807,0.633540372670807,0.310411311053985,0.196658097686375,0.310411311053985,0.734291155580511,"Hybrid Score",10,0.468582311161022,3
"15",0.58592132505176,0.813606710158434,0.58592132505176,0.813606710158434,0.58592132505176,0.58592132505176,0.58592132505176,0.310411311053985,0.181876606683805,0.310411311053985,0.699764017605097,"CBT Score (corrected)",10,0.399528035210194,3
"16",0.592132505175983,0.816402609506058,0.592132505175983,0.816402609506058,0.592132505175983,0.592132505175983,0.592132505175983,0.310411311053985,0.183804627249357,0.310411311053985,0.704267557341021,"CBT Score",10,0.408535114682041,3
"17",0.451345755693582,0.753028890959925,0.451345755693582,0.753028890959925,0.451345755693582,0.451345755693582,0.451345755693582,0.310411311053985,0.140102827763496,0.310411311053985,0.602187323326754,"PMT OLS",10,0.204374646653507,3
"18",0.563146997929607,0.803355079217148,0.563146997929607,0.803355079217148,0.563146997929607,0.563146997929607,0.563146997929607,0.310411311053985,0.174807197943445,0.310411311053985,0.683251038573377,"CBT Logit",10,0.366502077146755,3
"19",0.661157024793388,0.848847926267281,0.661157024793388,0.848847926267281,0.661157024793388,0.661157024793388,0.661157024793388,0.308476736775016,0.203951561504143,0.308476736775016,0.755002475530335,"Hybrid Score (corrected)",10,0.51000495106067,4
"20",0.659090909090909,0.847926267281106,0.659090909090909,0.847926267281106,0.659090909090909,0.659090909090909,0.659090909090909,0.308476736775016,0.203314212874442,0.308476736775016,0.753508588186008,"Hybrid Score",10,0.507017176372015,4
"21",0.640495867768595,0.83963133640553,0.640495867768595,0.83963133640553,0.640495867768595,0.640495867768595,0.640495867768595,0.308476736775016,0.197578075207138,0.308476736775016,0.740063602087063,"CBT Score (corrected)",10,0.480127204174125,4
"22",0.65495867768595,0.846082949308756,0.65495867768595,0.846082949308756,0.65495867768595,0.65495867768595,0.65495867768595,0.308476736775016,0.202039515615041,0.308476736775016,0.750520813497353,"CBT Score",10,0.501041626994706,4
"23",0.599173553719008,0.821198156682028,0.599173553719008,0.821198156682028,0.599173553719008,0.599173553719008,0.599173553719008,0.308476736775016,0.184831102613129,0.308476736775016,0.710185855200518,"PMT OLS",10,0.420371710401036,4
"24",0.572314049586777,0.809216589861751,0.572314049586777,0.809216589861751,0.572314049586777,0.572314049586777,0.572314049586777,0.308476736775016,0.176545570427024,0.308476736775016,0.690765319724264,"CBT Logit",10,0.381530639448528,4
