"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","TD","rep"
"1",0.71304347826087,0.872093023255814,0.71304347826087,0.872093023255814,0.71304347826087,0.71304347826087,0.71304347826087,0.308310991957105,0.219839142091153,0.308310991957105,0.792568250758342,"DU",0.585136501516684,1
"2",0.714285714285714,0.872646733111849,0.714285714285714,0.872646733111849,0.714285714285714,0.714285714285714,0.714285714285714,0.308310991957105,0.220222137112218,0.308310991957105,0.793466223698782,"Non-DU",0.586932447397564,1
"3",0.716770186335404,0.87375415282392,0.716770186335404,0.87375415282392,0.716770186335404,0.716770186335404,0.716770186335404,0.308310991957105,0.220988127154347,0.308310991957105,0.795262169579662,"P1",0.590524339159324,1
"4",0.72819216182048,0.872781065088757,0.72819216182048,0.872781065088757,0.72819216182048,0.72819216182048,0.728192161820481,0.318823055219669,0.232164449818622,0.318823055219669,0.800486613454619,"DU",0.600973226909238,2
"5",0.716814159292035,0.867455621301775,0.716814159292035,0.867455621301775,0.716814159292035,0.716814159292035,0.716814159292035,0.318823055219669,0.228536880290206,0.318823055219669,0.792134890296905,"Non-DU",0.584269780593811,2
"6",0.72692793931732,0.872189349112426,0.72692793931732,0.872189349112426,0.72692793931732,0.72692793931732,0.72692793931732,0.318823055219669,0.231761386537686,0.318823055219669,0.799558644214873,"P1",0.599117288429746,2
"7",0.721268163804491,0.875295508274232,0.721268163804491,0.875295508274232,0.721268163804491,0.721268163804491,0.721268163804491,0.309105757452021,0.222948142098816,0.309105757452021,0.798281836039362,"DU",0.596563672078723,3
"8",0.721268163804491,0.875295508274232,0.721268163804491,0.875295508274232,0.721268163804491,0.721268163804491,0.721268163804491,0.309105757452021,0.222948142098816,0.309105757452021,0.798281836039362,"Non-DU",0.596563672078723,3
"9",0.726552179656539,0.877659574468085,0.726552179656539,0.877659574468085,0.726552179656539,0.726552179656539,0.726552179656539,0.309105757452021,0.224581461821151,0.309105757452021,0.802105877062312,"P1",0.604211754124624,3
"10",0.724935732647815,0.87889077532541,0.724935732647815,0.87889077532541,0.724935732647815,0.724935732647815,0.724935732647815,0.305697445972495,0.221611001964637,0.305697445972495,0.801913253986613,"DU",0.603826507973225,4
"11",0.717223650385604,0.87549518958687,0.717223650385604,0.87549518958687,0.717223650385604,0.717223650385604,0.717223650385604,0.305697445972495,0.219253438113949,0.305697445972495,0.796359419986237,"Non-DU",0.592718839972475,4
"12",0.737789203084833,0.884550084889643,0.737789203084833,0.884550084889643,0.737789203084833,0.737789203084833,0.737789203084833,0.305697445972495,0.225540275049116,0.305697445972495,0.811169643987238,"P1",0.622339287974476,4
"13",0.719853836784409,0.872998343456654,0.719853836784409,0.872998343456654,0.719853836784409,0.719853836784409,0.719853836784409,0.31193009118541,0.224544072948328,0.31193009118541,0.796426090120532,"DU",0.592852180241063,5
"14",0.71863580998782,0.872446162341248,0.71863580998782,0.872446162341248,0.71863580998782,0.71863580998782,0.71863580998782,0.31193009118541,0.224164133738602,0.31193009118541,0.795540986164534,"Non-DU",0.591081972329068,5
"15",0.735688185140073,0.88017669795693,0.735688185140073,0.88017669795693,0.735688185140073,0.735688185140073,0.735688185140073,0.31193009118541,0.229483282674772,0.31193009118541,0.807932441548501,"P1",0.615864883097003,5
"16",0.732075471698113,0.875219683655536,0.732075471698113,0.875219683655536,0.732075471698113,0.732075471698113,0.732075471698113,0.317745803357314,0.232613908872902,0.317745803357314,0.803647577676825,"DU",0.607295155353649,6
