"","EER","rep","CBT_ncomm","subsample"
"1",0.361085000671411,1,10,"No Elite"
"2",0.305201842319155,1,25,"No Elite"
"3",0.275413873306882,1,75,"No Elite"
"4",0.27579338733236,1,100,"No Elite"
