"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"beta_rank",386.338015700398,462.995097756074,384.997403299416,266.944550599259,285.030188483053,561.80860579268,486.045507474918,566.429756173535,427.418076094253,246.12649026057,328.302917103509,433.230446202985,329.716577924977,281.752408161907,258.232370106569,270.123096901719,198.527610948406,294.736198332656,141.932602449134,410.387187810987,191.92423916152,241.705619087108,108.236076297556,275.828260014238,369.969178554937,404.341992553798,513.267847146477,434.167886294475,544.812615537559,214.407693977001,232.639917515164,162.266406425882,183.919450927829,555.974317670105,332.675751866707,547.982443170649,373.19317892562,397.255751669769,231.686252646487,343.66551146756,140.072723823366,165.860045037158,199.924149406918,386.033890567419
"beta_micro",561.121865443307,800.727177697691,854.164704609144,815.354968191744,1055.05999158266,695.870942486902,765.868452204114,894.056259693134,1274.12939125302,393.842105824923,462.53283105465,519.810091876734,632.623385884389,408.686770335665,308.497493157996,285.973473483946,269.906067620051,768.137400261146,1268.08747802937,1387.75985297021,1116.67845196789,933.329950558717,870.910444778092,977.345099551158,1007.94791003253,587.643661594665,1136.48337446976,1073.37650707071,1158.82813268418,796.562393970014,886.615852032659,909.528473665659,964.543417456843,1176.56502127651,595.966530963467,1201.68160051614,1221.51640453371,1500,773.667375967408,919.34377302519,176.89730305649,188.794034542598,173.544734944363,1196.1457520432
"beta_rank",359.689778740519,330.511861141507,311.739458497699,518.003649085648,512.641183348519,529.514787899369,346.485523768569,368.31763643511,339.365153021933,306.000878330066,318.442053424309,419.180479569476,208.305589203577,306.272248248386,253.222086386233,296.129733846415,308.151372192534,288.557884193385,215.938739041269,296.472472520814,265.758201823405,331.965783493223,59.1305304934485,565.050162775266,576.042508448863,416.702653004057,378.631186013785,428.848575611251,344.550026641541,293.747159576722,265.332026985657,430.083009095651,233.29781262758,412.468104563992,403.896470737209,540.740914682463,448.52044385772,299.320867639738,188.794891946671,485.576689339759,268.79301563527,238.923756051089,277.135797499998,459.387962358081
"beta_micro",927.389921841066,950.317588805986,920.753221204675,1094.63376832533,1371.44185466898,911.924966669023,1153.93459621644,1204.46998049592,1185.26511572451,493.389847550755,581.793000505888,942.592667516361,555.6524712502,795.868690418415,342.631082831601,373.769135364236,369.817101386665,908.268943600474,1333.69780499535,1085.48043077805,1189.4863425918,1273.59982944154,1016.39904536456,1268.16942628251,1324.29656859864,728.153432016871,1500,1141.43115263696,1280.54818954461,1053.11838649632,1192.63205889859,1163.96792659139,1500,1344.54962044727,640.965610790112,1282.06652878923,1500,1392.20305664667,836.020412011712,1122.20407388226,327.424630217697,330.078311071327,292.182589979893,1250.36676414635
"beta_rank",260.925314598017,445.981076060399,485.754604821412,410.807233722072,362.111982136471,486.133323824178,595.342509441175,480.285134813461,359.428322610907,303.066733209752,228.683165391492,376.968929210644,320.646253574774,321.129362523019,321.107545631546,238.13349195552,276.539684304683,342.693368412704,230.263003199135,309.95010176047,299.483161698792,285.060722121206,55.4344697819895,327.276778115459,255.752500598512,315.131378188397,373.377764193425,407.546436863458,387.473315702852,242.957046692208,206.914092491869,386.358356293317,226.247342747589,358.040782801447,408.679014102176,480.240845358861,402.291706456366,268.222718173215,198.826966950864,413.246741771842,230.782533147392,268.208638354993,217.071472694431,301.583511482868
"beta_micro",709.597508971435,1222.85075858247,974.46780506188,952.938205164511,1130.84817583969,725.26216792625,1254.20303119621,1500,1490.42593588066,401.955528136939,436.286372794276,761.395290749619,559.591969735365,303.755122265203,376.467711940078,307.057320281005,273.518905996021,845.833126135529,1196.41681986239,1277.96672140259,1222.50696356289,1136.74613370506,1040.39634243394,1219.00416225875,1191.99184388872,612.781099293821,1289.71338103013,1104.77900522355,1242.00770944856,1146.12970598342,1068.52683198089,1178.3623395265,1046.71743941742,1111.37422957516,736.310115964313,927.547811679541,1092.45191511758,1211.82236602127,1085.69223141711,969.848599381571,274.651363857254,255.66213840139,261.605629333079,1128.49255433299
