"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"beta_rank",433.61716410065,348.457321224806,492.95819288278,357.942306953027,461.531791657718,441.380525092947,521.971949468832,644.124982565288,246.93847404214,259.956317214799,328.225756042916,491.958676599883,425.049532005733,317.245553076209,262.617989514072,265.594231131305,212.036830070768,203.449793515716,488.486625465038,347.982588020175,332.770039419137,448.46769668692,83.7644365496105,361.862421008988,286.030067427562,387.55744357067,435.987962590364,403.687760178473,440.464186043512,279.186735030738,303.305740304255,461.681935612286,297.159747486122,127.948753442359,330.941698340402,401.591510993391,381.500764582679,255.454013831769,273.685914818353,473.369083174969,222.186344595934,226.876501600031,264.627204452618,346.301905609115
"beta_micro",491.636245882454,769.075721950569,878.789133987371,855.944706060951,1252.72868305438,783.954943555393,1023.62277769943,1339.19224808256,1259.24094770302,298.118613709267,420.423462843762,626.886064392652,622.514647706393,451.776694423537,237.176039397037,251.082248320935,202.4300199567,632.00461666449,1160.62543755415,1023.47204741999,936.452372876288,1249.16272866934,1041.52801291668,983.688759506314,1147.62665076397,549.099533501706,1330.74459669095,732.979526496923,845.812653200871,1025.09974337916,990.407076367955,1115.88163162166,985.018358467291,1234.11689134789,505.126160672012,961.435411078796,1315.14664418551,1225.72021654103,1082.11793138557,822.602349922646,241.465141033068,234.323766201591,220.664342997646,1169.88084122873
"beta_rank",126.496838102032,467.195009643708,382.653833017866,323.62289364362,437.944908692016,315.189433186733,387.608725488485,759.299853442252,530.124061125623,358.387185663302,285.503401945314,430.046450460918,415.639599552559,483.410251582591,352.650720075161,318.850462471162,303.694654776255,329.451719412239,268.304456249958,248.050216957901,228.092476467381,258.255845201544,96.2657722408369,362.244600454313,208.914812290158,464.887680089171,388.596658499444,485.323377538829,461.540877794049,170.742245524909,274.663767787132,305.962907337237,178.593478545194,334.370794773088,410.048266324932,220.076474345713,355.877564209181,294.779259544495,265.536382204221,558.798126563774,234.790895053486,283.059546609674,258.686667745135,132.637414639005
"beta_micro",752.364464375085,936.809090989389,690.910181507642,949.304339349744,1196.25291420084,746.811362860906,1204.57198793046,1305.4867014352,1388.08525136799,397.0246055011,577.266806439733,994.580336609284,867.673928799598,991.878047462092,453.839420376822,329.287962705558,363.040035313258,997.500942485574,1276.22045990211,1317.45036807786,885.553866478949,1088.90950950105,1140.74826626846,941.159622715872,1120.95305881208,700.351808522816,1500,1201.44515933968,1165.42199603504,1092.2088993105,903.131687154165,1220.62133025303,1134.87489578124,1255.30580038387,695.366542663376,981.136504825908,1338.77170030646,1329.51591760819,1048.00294297092,901.573449464283,249.740737061199,253.217845141112,204.573239026445,1212.85953602334
"beta_rank",325.838279299362,591.209689392786,617.875773055332,499.511317752474,249.084276974273,380.682864457674,598.066621410261,633.6944031275,531.478158702251,355.714532388764,440.53306904697,372.309113059351,270.336705986806,337.761467031229,279.174399195489,372.333101384837,338.035614489041,303.830261806823,370.151869916782,434.242112074768,419.191342687023,336.801829026668,152.919437934983,232.873973977359,382.701129840354,348.271272748177,555.32546009133,333.039389588349,572.225937557473,191.667858384056,433.948656918736,386.667697164719,216.042685289668,441.494797800131,284.473349055409,432.989611602117,390.13445456074,417.342702647568,168.6003137971,499.127179114524,272.78158493725,298.603334803026,253.498531971052,520.895940094579
"beta_micro",767.751549108306,1126.35815478244,1078.65337529155,1212.72705144087,1159.10810956937,961.572444787614,1022.74794732106,1212.64008569664,1500,561.606935938764,560.13087296239,634.997366322765,602.511949053383,584.370229603439,389.099551409345,336.467523328568,317.612256748772,757.273187426906,1148.97203485496,948.187771616656,1138.7491419244,1226.51117054285,851.065926712267,870.844038849836,1137.12768960017,642.86347874858,1500,906.870571001921,1151.05445163666,952.844343290514,1054.03924415414,1197.61647717557,1500,1190.9699246625,622.531023886278,1241.28304944958,1183.54467648802,1271.85369946911,1001.88242782138,1092.66724957665,296.037978352006,254.747763691073,306.781409295107,1329.7776467237
