"","EER","rep","CBT_ncomm","subsample"
"1",0.370679886685552,1,10,"Night Meeting"
"2",0.32498951195637,1,25,"Night Meeting"
"3",0.291560464457661,1,75,"Night Meeting"
"4",0.286354093771868,1,100,"Night Meeting"
