"parameter","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"hhsize",-0.208189314977631,-0.234909771038512,-0.634875670893704
"hhage",0.17126260927086,0.173522163542401,-0.0140078622407544
"age04",0.0469462732925622,0.056225684982926,0.00137189016398986
"depratio",0.0776509578157518,0.0757007659948743,-0.210176384365351
"pcfloor",0.463271459688058,0.456303231457823,0.380638449235712
"eschild",-0.0411918234523932,-0.0389197701753847,0.0470586185441006
"jschild",0.0502081590124998,0.0496361191734543,0.046757623738005
"sschild",0.197104257715433,0.201942658298848,0.0740315067895307
"connected",-0.01090705856951,0,0
"hhmale",0.0348033956861652,0.0327530330417315,-0.039441172243357
"hhmarried",0.806395358662353,0.822187047400712,-0.0363578673967064
"hheduc2",-0.00271870744842349,0.0110346536494565,0.0301403350809905
"hheduc3",0.0739531415566579,0.074128645638956,0.111808317982735
"hheduc4",0.0418490054488166,0.0430598963568719,0.196161258116704
"higheduc2",-0.239364937992425,-0.234458061491453,-0.104377660538794
"higheduc3",-0.185841729550499,-0.173556436554358,-0.0963209318049402
"higheduc4",0.0529959291319794,0.0660256531022392,-0.0290924463064468
"tfloor",0.350651248092196,0.357638985538252,0.0556924901617024
"twall",0.312174667942077,0.311638351577007,0.0834151194450924
"toilet",0.340667499227432,0.339028049853074,0.0379953841909824
"water",-0.0917634454289711,-0.0756653995824307,0.102225958589254
"lighting",0.479727135004942,0.497823146623377,0.0730619981841257
"troof",0.476569800637189,0.48209653549253,-0.117095520009118
"fcook",0.2252461813622,0.224259518313536,0.159246297826396
"house",0.2470356043665,0.269510584503463,0.0471008914798214
"computer",0.703794366907406,0.706852232473543,0.541846143168704
"radio",-0.00692700926540201,-0.00674652042532401,0.0430177277185837
"tv",0.0722399169414993,0.0736680556466569,-0.0179880407672444
"dvd",0.243466884557825,0.249672167913307,0.089625928069105
"satellite",0.0517749044323148,0.0294980866985393,0.0474557216454225
"ac",1.28200123115273,1.38287878064311,0.587799674098688
"gas",0.226678269128485,0.219945165522897,0.186497209811419
"refrigerator",0.426443360091088,0.432250112590975,0.115786906170204
"bicycle",-0.00722039212930933,-0.00170536151994539,-0.168101281975357
"motorcycle",0.506403673869125,0.512318245575034,0.25807518674109
"auto",0.802016796519947,0.80669314299546,0.366585720964339
"hp",0.191549414462206,0.193617743292553,0.227469573784837
"jewelry",0.196986853095288,0.192089818625195,0.070200529146529
"chicken",-0.0266389230142331,-0.0168216126176722,-0.0451532327479448
"cow",0.394337474637142,0.37311904461596,-0.0132934288731353
"credit",-0.185500349172312,-0.190551258268494,0.0136516489291689
"hhsector1",0.534383114756184,0.508722540514579,0.0584920699291589
"hhsector2",0.364252358863985,0.34668582104344,0.0296024577652538
"hhsector3",0.534134904152581,0.510849820636927,0.0930648683199659
"formal",-0.466459918582703,-0.416931136962571,-0.118416824243744
"informal",-0.519283961038341,-0.468759600509704,-0.0981363218221008
