"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","CBT_ncomm","nonconverge","TD","rep","EER"
0.610337972166998,0.815094339622642,0.610337972166998,0.815094339622642,0.610337972166998,0.610337972166998,0.610337972166998,0.321817018554063,0.196417146513116,0.321817018554063,0.71271615589482,"PMT OLS",10,TRUE,0.42543231178964,1,0.389662027833002
0.542743538767396,0.783018867924528,0.542743538767396,0.783018867924528,0.542743538767396,0.542743538767396,0.542743538767396,0.321817018554063,0.174664107485605,0.321817018554063,0.662881203345962,"PMT OLS (cbt target)",10,TRUE,0.325762406691924,1,0.457256461232604
0.649402390438247,0.836431226765799,0.649402390438247,0.836431226765799,0.649402390438247,0.649402390438247,0.649402390438247,0.318124207858048,0.20659062103929,0.318124207858048,0.742916808602023,"PMT OLS",10,TRUE,0.485833617204046,2,0.350597609561753
0.581673306772908,0.804832713754647,0.581673306772908,0.804832713754647,0.581673306772908,0.581673306772908,0.581673306772908,0.318124207858048,0.185044359949303,0.318124207858048,0.693253010263778,"PMT OLS (cbt target)",10,TRUE,0.386506020527555,2,0.418326693227092
0.621457489878543,0.827490774907749,0.621457489878542,0.827490774907749,0.621457489878543,0.621457489878543,0.621457489878543,0.313054499366286,0.194550063371356,0.313054499366286,0.724474132393146,"PMT OLS",10,FALSE,0.448948264786292,3,0.378542510121457
0.536437246963563,0.788745387453875,0.536437246963563,0.788745387453875,0.536437246963563,0.536437246963563,0.536437246963563,0.313054499366286,0.167934093789607,0.313054499366286,0.662591317208719,"PMT OLS (cbt target)",10,FALSE,0.325182634417437,3,0.463562753036437
0.60625,0.826286764705882,0.60625,0.826286764705882,0.60625,0.60625,0.60625,0.306122448979592,0.185586734693878,0.306122448979592,0.716268382352941,"PMT OLS",10,FALSE,0.432536764705882,4,0.39375
0.55625,0.804227941176471,0.55625,0.804227941176471,0.55625,0.55625,0.55625,0.306122448979592,0.170280612244898,0.306122448979592,0.680238970588235,"PMT OLS (cbt target)",10,FALSE,0.360477941176471,4,0.44375
0.612774451097804,0.819870009285051,0.612774451097804,0.819870009285051,0.612774451097804,0.612774451097804,0.612774451097804,0.317490494296578,0.194550063371356,0.317490494296578,0.716322230191428,"PMT OLS",10,FALSE,0.432644460382855,5,0.387225548902196
0.570858283433134,0.800371402042711,0.570858283433134,0.800371402042711,0.570858283433134,0.570858283433134,0.570858283433134,0.317490494296578,0.181242078580482,0.317490494296578,0.685614842737923,"PMT OLS (cbt target)",10,FALSE,0.371229685475845,5,0.429141716566866
0.625506072874494,0.824644549763033,0.625506072874494,0.824644549763033,0.625506072874494,0.625506072874494,0.625506072874494,0.318915429309232,0.199483537766301,0.318915429309232,0.725075311318764,"PMT OLS",10,FALSE,0.450150622637527,6,0.374493927125506
0.546558704453441,0.787677725118483,0.546558704453441,0.787677725118484,0.546558704453441,0.546558704453441,0.546558704453441,0.318915429309232,0.174306003873467,0.318915429309232,0.667118214785962,"PMT OLS (cbt target)",10,FALSE,0.334236429571925,6,0.453441295546559
0.639112903225806,0.832866479925303,0.639112903225806,0.832866479925303,0.639112903225806,0.639112903225806,0.639112903225806,0.316528398213146,0.202297383535418,0.316528398213146,0.735989691575555,"PMT OLS",10,TRUE,0.47197938315111,7,0.360887096774194
0.576612903225806,0.803921568627451,0.576612903225806,0.803921568627451,0.576612903225806,0.576612903225806,0.576612903225806,0.316528398213146,0.182514358647096,0.316528398213146,0.690267235926629,"PMT OLS (cbt target)",10,TRUE,0.380534471853258,7,0.423387096774194
