"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","CBT_ncomm","TD","rep"
"1",0.658301158301158,0.836262719703978,0.658301158301158,0.836262719703978,0.658301158301158,0.658301158301158,0.658301158301158,0.323952470293934,0.213258286429018,0.323952470293934,0.747281939002568,"Hybrid Score (corrected)",10,0.494563878005136,1
"2",0.654440154440154,0.834412580943571,0.654440154440154,0.834412580943571,0.654440154440154,0.654440154440154,0.654440154440154,0.323952470293934,0.212007504690432,0.323952470293934,0.744426367691863,"Hybrid Score",10,0.488852735383725,1
"3",0.640926640926641,0.827937095282146,0.640926640926641,0.827937095282146,0.640926640926641,0.640926640926641,0.640926640926641,0.323952470293934,0.207629768605378,0.323952470293934,0.734431868104394,"CBT Score (corrected)",10,0.468863736208787,1
"4",0.648648648648649,0.83163737280296,0.648648648648649,0.83163737280296,0.648648648648649,0.648648648648649,0.648648648648649,0.323952470293934,0.210131332082552,0.323952470293934,0.740143010725804,"CBT Score",10,0.480286021451609,1
"5",0.694980694980695,0.853839037927845,0.694980694980695,0.853839037927845,0.694980694980695,0.694980694980695,0.694980694980695,0.323952470293934,0.225140712945591,0.323952470293934,0.77440986645427,"CBT DU",10,0.54881973290854,1
"6",0.44015444015444,0.731729879740981,0.44015444015444,0.731729879740981,0.44015444015444,0.44015444015444,0.44015444015444,0.323952470293934,0.142589118198874,0.323952470293934,0.58594215994771,"PMT OLS",10,0.171884319895421,1
"7",0.542471042471042,0.780758556891767,0.542471042471042,0.780758556891767,0.542471042471042,0.542471042471042,0.542471042471042,0.323952470293934,0.17573483427142,0.323952470293934,0.661614799681405,"CBT Logit",10,0.323229599362809,1
"8",0.679577464788732,0.840210711150132,0.679577464788732,0.840210711150132,0.679577464788732,0.679577464788732,0.679577464788732,0.332747510251904,0.226127709431752,0.332747510251904,0.759894087969432,"Hybrid Score (corrected)",10,0.519788175938864,2
"9",0.674295774647887,0.837576821773485,0.674295774647887,0.837576821773485,0.674295774647887,0.674295774647887,0.674295774647887,0.332747510251904,0.224370240187463,0.332747510251904,0.755936298210686,"Hybrid Score",10,0.511872596421373,2
"10",0.663732394366197,0.832309043020193,0.663732394366197,0.832309043020193,0.663732394366197,0.663732394366197,0.663732394366197,0.332747510251904,0.220855301698887,0.332747510251904,0.748020718693195,"CBT Score (corrected)",10,0.49604143738639,2
"11",0.688380281690141,0.844600526777875,0.688380281690141,0.844600526777875,0.688380281690141,0.688380281690141,0.688380281690141,0.332747510251904,0.229056824838899,0.332747510251904,0.766490404234008,"CBT Score",10,0.532980808468016,2
"12",0.71830985915493,0.859525899912204,0.71830985915493,0.859525899912204,0.71830985915493,0.71830985915493,0.71830985915493,0.332747510251904,0.239015817223199,0.332747510251904,0.788917879533567,"CBT DU",10,0.577835759067133,2
"13",0.477112676056338,0.739244951712028,0.477112676056338,0.739244951712028,0.477112676056338,0.477112676056338,0.477112676056338,0.332747510251904,0.15875805506737,0.332747510251904,0.608178813884183,"PMT OLS",10,0.216357627768366,2
"14",0.559859154929577,0.780509218612818,0.559859154929577,0.780509218612818,0.559859154929577,0.559859154929577,0.559859154929577,0.332747510251904,0.186291739894552,0.332747510251904,0.670184186771198,"CBT Logit",10,0.340368373542396,2
"15",0.714836223506744,0.856310679611651,0.714836223506744,0.85631067961165,0.714836223506744,0.714836223506744,0.714836223506744,0.335054874112331,0.239509360877986,0.335054874112331,0.785573451559197,"Hybrid Score (corrected)",10,0.571146903118394,3
"16",0.709055876685935,0.853398058252427,0.709055876685935,0.853398058252427,0.709055876685935,0.709055876685935,0.709055876685935,0.335054874112331,0.237572627501614,0.335054874112331,0.781226967469181,"Hybrid Score",10,0.562453934938362,3
"17",0.649325626204239,0.823300970873786,0.649325626204239,0.823300970873786,0.649325626204239,0.649325626204239,0.649325626204239,0.335054874112331,0.217559715945771,0.335054874112331,0.736313298539013,"CBT Score (corrected)",10,0.472626597078025,3
"18",0.653179190751445,0.825242718446602,0.653179190751445,0.825242718446602,0.653179190751445,0.653179190751445,0.653179190751445,0.335054874112331,0.218850871530019,0.335054874112331,0.739210954599024,"CBT Score",10,0.478421909198047,3
"19",0.737957610789981,0.867961165048544,0.737957610789981,0.867961165048544,0.737957610789981,0.737957610789981,0.737957610789981,0.335054874112331,0.247256294383473,0.335054874112331,0.802959387919262,"CBT DU",10,0.605918775838524,3
"20",0.46242774566474,0.729126213592233,0.46242774566474,0.729126213592233,0.46242774566474,0.46242774566474,0.46242774566474,0.335054874112331,0.154938670109748,0.335054874112331,0.595776979628486,"PMT OLS",10,0.191553959256973,3
"21",0.591522157996146,0.794174757281553,0.591522157996146,0.794174757281553,0.591522157996146,0.591522157996146,0.591522157996146,0.335054874112331,0.198192382182053,0.335054874112331,0.69284845763885,"CBT Logit",10,0.3856969152777,3
"22",0.720408163265306,0.881794650560828,0.720408163265306,0.881794650560828,0.720408163265306,0.720408163265306,0.720408163265306,0.297149787750152,0.214069132807762,0.297149787750152,0.801101406913067,"Hybrid Score (corrected)",10,0.602202813826134,4
"23",0.712244897959184,0.878343399482312,0.712244897959184,0.878343399482312,0.712244897959184,0.712244897959184,0.712244897959184,0.297149787750152,0.2116434202547,0.297149787750152,0.795294148720748,"Hybrid Score",10,0.590588297441496,4
"24",0.671428571428571,0.861087144089733,0.671428571428571,0.861087144089733,0.671428571428571,0.671428571428571,0.671428571428571,0.297149787750152,0.199514857489388,0.297149787750152,0.766257857759152,"CBT Score (corrected)",10,0.532515715518304,4
