"CBT_ncomm","mean_EER","Method"
5,0.663425472630236,"PMT OLS (corrected)"
10,0.643098245975894,"PMT OLS (corrected)"
15,0.631630675505528,"PMT OLS (corrected)"
25,0.625880222887883,"PMT OLS (corrected)"
