"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","CBT_ncomm","TD","rep"
"1",0.509090909090909,0.863636363636364,0.509090909090909,0.863636363636364,0.509090909090909,0.509090909090909,0.509090909090909,0.217391304347826,0.110671936758893,0.217391304347826,0.686363636363636,"Hybrid Score (corrected)",5,0.372727272727273,1
"2",0.490909090909091,0.858585858585859,0.490909090909091,0.858585858585859,0.490909090909091,0.490909090909091,0.490909090909091,0.217391304347826,0.106719367588933,0.217391304347826,0.674747474747475,"Hybrid Score",5,0.349494949494949,1
"3",0.472727272727273,0.853535353535353,0.472727272727273,0.853535353535354,0.472727272727273,0.472727272727273,0.472727272727273,0.217391304347826,0.102766798418972,0.217391304347826,0.663131313131313,"CBT Score (corrected)",5,0.326262626262626,1
"4",0.436363636363636,0.843434343434343,0.436363636363636,0.843434343434343,0.436363636363636,0.436363636363636,0.436363636363636,0.217391304347826,0.0948616600790514,0.217391304347826,0.63989898989899,"CBT Score",5,0.27979797979798,1
"5",0.545454545454545,0.873737373737374,0.545454545454545,0.873737373737374,0.545454545454545,0.545454545454545,0.545454545454545,0.217391304347826,0.118577075098814,0.217391304347826,0.70959595959596,"CBT DU",5,0.419191919191919,1
"6",0.272727272727273,0.797979797979798,0.272727272727273,0.797979797979798,0.272727272727273,0.272727272727273,0.272727272727273,0.217391304347826,0.0592885375494071,0.217391304347826,0.535353535353535,"PMT OLS",5,0.0707070707070707,1
"7",0.309090909090909,0.808080808080808,0.309090909090909,0.808080808080808,0.309090909090909,0.309090909090909,0.309090909090909,0.217391304347826,0.0671936758893281,0.217391304347826,0.558585858585859,"CBT Logit",5,0.117171717171717,1
"8",0.515625,0.853080568720379,0.515625,0.853080568720379,0.515625,0.515625,0.515625,0.232727272727273,0.12,0.232727272727273,0.68435278436019,"Hybrid Score (corrected)",5,0.368705568720379,2
"9",0.578125,0.872037914691943,0.578125,0.872037914691943,0.578125,0.578125,0.578125,0.232727272727273,0.134545454545455,0.232727272727273,0.725081457345972,"Hybrid Score",5,0.450162914691943,2
"10",0.5625,0.867298578199052,0.5625,0.867298578199052,0.5625,0.5625,0.5625,0.232727272727273,0.130909090909091,0.232727272727273,0.714899289099526,"CBT Score (corrected)",5,0.429798578199052,2
"11",0.453125,0.834123222748815,0.453125,0.834123222748815,0.453125,0.453125,0.453125,0.232727272727273,0.105454545454545,0.232727272727273,0.643624111374408,"CBT Score",5,0.287248222748815,2
"12",0.65625,0.895734597156398,0.65625,0.895734597156398,0.65625,0.65625,0.65625,0.232727272727273,0.152727272727273,0.232727272727273,0.775992298578199,"CBT DU",5,0.551984597156398,2
"13",0.34375,0.800947867298578,0.34375,0.800947867298578,0.34375,0.34375,0.34375,0.232727272727273,0.08,0.232727272727273,0.572348933649289,"PMT OLS",5,0.144697867298578,2
"14",0.359375,0.805687203791469,0.359375,0.805687203791469,0.359375,0.359375,0.359375,0.232727272727273,0.0836363636363636,0.232727272727273,0.582531101895735,"CBT Logit",5,0.165062203791469,2
"15",0.464285714285714,0.868421052631579,0.464285714285714,0.868421052631579,0.464285714285714,0.464285714285714,0.464285714285714,0.197183098591549,0.0915492957746479,0.197183098591549,0.666353383458647,"Hybrid Score (corrected)",5,0.332706766917293,3
"16",0.482142857142857,0.87280701754386,0.482142857142857,0.87280701754386,0.482142857142857,0.482142857142857,0.482142857142857,0.197183098591549,0.0950704225352113,0.197183098591549,0.677474937343358,"Hybrid Score",5,0.354949874686717,3
"17",0.392857142857143,0.850877192982456,0.392857142857143,0.850877192982456,0.392857142857143,0.392857142857143,0.392857142857143,0.197183098591549,0.0774647887323944,0.197183098591549,0.621867167919799,"CBT Score (corrected)",5,0.243734335839599,3
"18",0.392857142857143,0.850877192982456,0.392857142857143,0.850877192982456,0.392857142857143,0.392857142857143,0.392857142857143,0.197183098591549,0.0774647887323944,0.197183098591549,0.621867167919799,"CBT Score",5,0.243734335839599,3
"19",0.535714285714286,0.885964912280702,0.535714285714286,0.885964912280702,0.535714285714286,0.535714285714286,0.535714285714286,0.197183098591549,0.105633802816901,0.197183098591549,0.710839598997494,"CBT DU",5,0.421679197994987,3
"20",0.392857142857143,0.850877192982456,0.392857142857143,0.850877192982456,0.392857142857143,0.392857142857143,0.392857142857143,0.197183098591549,0.0774647887323944,0.197183098591549,0.621867167919799,"PMT OLS",5,0.243734335839599,3
"21",0.357142857142857,0.842105263157895,0.357142857142857,0.842105263157895,0.357142857142857,0.357142857142857,0.357142857142857,0.197183098591549,0.0704225352112676,0.197183098591549,0.599624060150376,"CBT Logit",5,0.199248120300752,3
"22",0.515625,0.86864406779661,0.515625,0.86864406779661,0.515625,0.515625,0.515625,0.213333333333333,0.11,0.213333333333333,0.692134533898305,"Hybrid Score (corrected)",5,0.38426906779661,4
"23",0.515625,0.86864406779661,0.515625,0.86864406779661,0.515625,0.515625,0.515625,0.213333333333333,0.11,0.213333333333333,0.692134533898305,"Hybrid Score",5,0.38426906779661,4
"24",0.515625,0.86864406779661,0.515625,0.86864406779661,0.515625,0.515625,0.515625,0.213333333333333,0.11,0.213333333333333,0.692134533898305,"CBT Score (corrected)",5,0.38426906779661,4
"25",0.515625,0.86864406779661,0.515625,0.86864406779661,0.515625,0.515625,0.515625,0.213333333333333,0.11,0.213333333333333,0.692134533898305,"CBT Score",5,0.38426906779661,4
